name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
Jana Small Finan...,3.8,(4.9k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 323 more",17 years old,10k-50k Employees (India)
ICICI Prudential...,4.1,(4.9k Reviews),Public,"Mumbai,Maharashtra + 418 more",23 years old,10k-50k Employees (India)
EXL Service,3.9,(4.8k Reviews),Private,"New York City,New York + 35 more",24 years old,10k-50k Employees (India)
Udaan,4.0,(4.8k Reviews),Private,"Bangalore,Karnataka + 326 more",7 years old,1k-5k Employees (India)
HCL Group,3.8,(4.8k Reviews),Chennai + 64 more,47 years old,1 Lakh+ Employees (India),
Lupin,4.1,(4.8k Reviews),Public,"Mumbai,Maharashtra + 141 more",55 years old,10k-50k Employees (India)
KPMG,3.7,(4.8k Reviews),Partnership,Bengaluru/Bangalore + 66 more,36 years old,10k-50k Employees (India)
UltraTech Cement,4.2,(4.7k Reviews),Public,"Mumbai,Maharashtra + 385 more",40 years old,10k-50k Employees (India)
Bajaj Finance,4.1,(4.5k Reviews),Private,"Pune,Maharashtra + 680 more",36 years old,10k-50k Employees (India)
Paytm,3.6,(4.5k Reviews),Public,Noida + 261 more,13 years old,10k-50k Employees (India)
Bandhan Bank,3.9,(4.5k Reviews),Public,"Kolkata,West Bengal + 636 more",22 years old,50k-1 Lakh Employees (India)
L&T Infotech,3.8,(4.5k Reviews),Public,"Mumbai,Maharashtra + 69 more",27 years old,10k-50k Employees (India)
Indian Army,4.7,(4.5k Reviews),Public,"New Delhi,Delhi + 291 more",128 years old,1 Lakh+ Employees (India)
ITC,3.9,(4.4k Reviews),Public,"Kolkata,West Bengal + 263 more",48 years old,10k-50k Employees (India)
AU Small Finance...,4.2,(4.3k Reviews),Private,"Jaipur,Rajasthan + 326 more",27 years old,10k-50k Employees (India)
Mindtree,4.0,(4.3k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 27 more",24 years old,10k-50k Employees (India)
Hindustan Unilev...,4.3,(4.3k Reviews),Public,"Mumbai,Maharashtra + 386 more",90 years old,10k-50k Employees (India)
Ujjivan Small Fi...,4.1,(4.3k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 395 more",6 years old,10k-50k Employees (India)
JP Morgan Chase,4.2,(4.3k Reviews),Private,"New York,New York + 25 more",23 years old,10k-50k Employees (India)
Delhivery,4.0,(4.2k Reviews),Private,"Delhi,NCT + 526 more",12 years old,10k-50k Employees (India)
Wells Fargo,4.2,(4.2k Reviews),Public,"San Francisco,California + 15 more",171 years old,10k-50k Employees (India)
IIFL Finance,3.8,(4.2k Reviews),Public,"Mumbai,Maharashtra + 572 more",28 years old,10k-50k Employees (India)
Home Credit Fina...,4.1,(4.1k Reviews),Private,Gurugram + 106 more,11 years old,5k-10k Employees (India)
Quess,4.0,(4k Reviews),Public,Bangalore + 433 more,16 years old,1 Lakh+ Employees (India)
Amazon Developme...,4.3,(3.9k Reviews),Hyderabad/Secunderabad + 45 more,,,
Sun Pharmaceutic...,4.1,(3.9k Reviews),Public,Mumbai + 168 more,40 years old,10k-50k Employees (India)
TATA Steel,4.2,(3.9k Reviews),Public,"Mumbai,Maharashtra + 132 more",116 years old,1 Lakh+ Employees (India)
OPPO,3.9,(3.9k Reviews),Public,"Dongguan,Guangdong + 346 more",19 years old,10k-50k Employees (India)
Hexaware Technol...,3.7,(3.8k Reviews),Private,"Mumbai,Maharashtra + 32 more",33 years old,10k-50k Employees (India)
Ashok Leyland,4.1,(3.8k Reviews),Public,"Chennai,Tamil Nadu + 197 more",75 years old,10k-50k Employees (India)
Shapoorji Pallon...,4.2,(3.8k Reviews),Private,"Mumbai,Maharashtra + 147 more",158 years old,5k-10k Employees (India)
Shriram Transpor...,4.1,(3.8k Reviews),Public,"Mumbai,Maharashtra + 729 more",44 years old,10k-50k Employees (India)
JSW Steel,3.9,(3.8k Reviews),Public,"Mumbai,Maharashtra + 108 more",41 years old,10k-50k Employees (India)
Vivo,4.0,(3.7k Reviews),Private,"Gurgaon/Gurugram,Haryana + 346 more",14 years old,5k-10k Employees (India)
Aurobindo Pharma,4.0,(3.7k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 53 more",37 years old,10k-50k Employees (India)
Max Life Insuran...,4.2,(3.7k Reviews),JV,"Gurgaon/Gurugram,Haryana + 338 more",23 years old,10k-50k Employees (India)
Zydus Cadila,4.2,(3.7k Reviews),Public,"Ahmedabad, India + 119 more",71 years old,10k-50k Employees (India)
Muthoot Finance,3.6,(3.7k Reviews),Public,"Kochi/Cochin,Kerala + 542 more",84 years old,10k-50k Employees (India)
eClerx,3.5,(3.7k Reviews),Public,"Mumbai,Maharashtra + 14 more",23 years old,10k-50k Employees (India)
Siemens,4.2,(3.7k Reviews),Public,"Munich,Bavaria + 107 more",176 years old,5k-10k Employees (India)
Mahindra & Mahin...,4.3,(3.7k Reviews),Public,"Mumbai,Maharashtra + 595 more",32 years old,10k-50k Employees (India)
Apollo Hospitals,4.1,(3.7k Reviews),Public,"San Francisco,California + 168 more",40 years old,50k-1 Lakh Employees (India)
Oracle,3.9,(3.6k Reviews),Public,"Austin,Texas + 35 more",46 years old,50k-1 Lakh Employees (India)
