name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
ATS Infrastructu...,3.8,(425 Reviews),Private,"Noida,Uttar Pradesh + 9 more",25 years old,1k-5k Employees (India)
SKH Metals,3.9,(425 Reviews),Private,Gurgaon + 9 more,17 years old,1k-5k Employees (India)
Akal Information...,4.3,(425 Reviews),Private,"Delhi/NCR,New Delhi + 29 more",24 years old,501-1k Employees (India)
McNally Bharat E...,4.3,(425 Reviews),Public,"Kolkata,West Bengal + 41 more",62 years old,1k-5k Employees (India)
ACL Digital,3.7,(424 Reviews),Private,"Santa Clara,California + 16 more",31 years old,1k-5k Employees (India)
Atkins,4.1,(424 Reviews),Private,London + 15 more,85 years old,1k-5k Employees (India)
Orient Cement,4.4,(424 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 50 more",44 years old,501-1k Employees (India)
ACL Digital,3.7,(424 Reviews),Private,"Santa Clara,California + 16 more",31 years old,1k-5k Employees (India)
Samunnati Financ...,4.5,(424 Reviews),Private,"Chennai,Tamil Nadu + 46 more",9 years old,501-1k Employees (India)
Centum Learning,3.7,(423 Reviews),Private,"Delhi/NCR,New Delhi + 66 more",16 years old,201-500 Employees (India)
Jaro Education,2.8,(423 Reviews),Private,"Mumbai,Maharashtra + 14 more",14 years old,501-1k Employees (India)
Principal Global...,4.2,(423 Reviews),Private,Des Moines + 6 more,17 years old,1k-5k Employees (India)
House Of Anita D...,4.1,(423 Reviews),Private,"Navi Mumbai,Maharashtra + 40 more",25 years old,1k-5k Employees (India)
MPS Limited,3.9,(423 Reviews),Public,"Noida,Uttar Pradesh + 17 more",53 years old,1k-5k Employees (India)
Hapag-Lloyd,4.1,(422 Reviews),Private,Hamburg + 7 more,176 years old,1k-5k Employees (India)
PeopleStrong,3.8,(422 Reviews),Private,"Gurgaon,Haryana + 15 more",17 years old,1k-5k Employees (India)
Yatra,3.6,(422 Reviews),Private,"Gurgaon,Haryana + 18 more",17 years old,1k-5k Employees (India)
HBL Power System...,3.8,(422 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 39 more",46 years old,1k-5k Employees (India)
SHYAM METALICS A...,3.7,(422 Reviews),Private,"Kolkata,West Bengal + 23 more",28 years old,1k-5k Employees (India)
Ongc Petro Addit...,4.0,(422 Reviews),Public,"Vadodara/Baroda,Gujarat + 20 more",17 years old,1k-5k Employees (India)
Hitachi,4.0,(422 Reviews),Private,"Tokyo,Japan + 65 more",113 years old,201-500 Employees (India)
KaaShiv InfoTech...,5.0,(421 Reviews),Chennai,51-200 Employees (India),,
Saint Gobain Gla...,4.0,(421 Reviews),Chennai + 40 more,,,
Aerial Telecom S...,4.1,(421 Reviews),Private,"Mohali,Punjab + 57 more",13 years old,501-1k Employees (India)
Orient Electric,4.0,(421 Reviews),Public,"Delhi/NCR,Delhi + 41 more",69 years old,501-1k Employees (India)
Kantar,3.7,(421 Reviews),Private,"London,London + 19 more",15 years old,5k-10k Employees (India)
Goodyear,3.9,(420 Reviews),Public,"Akron,OH + 44 more",125 years old,1k-5k Employees (India)
Travel Food Serv...,4.1,(420 Reviews),Private,"Mumbai,Maharashtra + 20 more",14 years old,1k-5k Employees (India)
United Colors o...,4.3,(420 Reviews),Private,"Gurgaon/Gurugram,Haryana + 57 more",31 years old,201-500 Employees (India)
Genesys Internat...,3.8,(420 Reviews),Public,"Mumbai,Maharashtra + 10 more",28 years old,1k-5k Employees (India)
Apar Industries,4.1,(420 Reviews),Public,"Vadodara/Baroda,Gujarat + 41 more",65 years old,1k-5k Employees (India)
My Home Industri...,4.1,(418 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 46 more",26 years old,201-500 Employees (India)
Microtek Interna...,3.7,(418 Reviews),Private,"Delhi/NCR,Delhi + 68 more",43 years old,201-500 Employees (India)
MAS Financial Se...,3.8,(418 Reviews),Public,"Ahmedabad,Gujarat + 78 more",28 years old,1k-5k Employees (India)
Ford Business So...,4.6,(417 Reviews),Private,Chennai + 30 more,25 years old,10k-50k Employees (India)
Dimension Data,4.0,(417 Reviews),Private,"Bryanston,Johannesburg + 49 more",40 years old,1k-5k Employees (India)
Thermo Fisher Sc...,3.9,(416 Reviews),Private,"Waltham,Massachusetts + 23 more",67 years old,1k-5k Employees (India)
Glorious Insight,4.9,(416 Reviews),Noida + 1 more,201-500 Employees (India),,
Schindler Group,3.9,(416 Reviews),Private,"Ebikon,Lucerne + 45 more",26 years old,1k-5k Employees (India)
Jubilant Generic...,4.1,(415 Reviews),Private,"Noida,Uttar Pradesh + 16 more",10 years old,5k-10k Employees (India)
Renovision Autom...,3.7,(415 Reviews),Private,New Delhi + 60 more,17 years old,1k-5k Employees (India)
Cigniti Technolo...,3.8,(415 Reviews),Public,"Irving,Texas + 4 more",25 years old,1k-5k Employees (India)
Navitasys India,3.9,(415 Reviews),Bawal + 17 more,201-500 Employees (India),,
JSW Group,4.0,(414 Reviews),Private,Mumbai + 57 more,41 years old,10k-50k Employees (India)
Northern Trust,3.9,(414 Reviews),Bengaluru/Bangalore + 5 more,,,
Vadilal Industri...,4.1,(414 Reviews),Public,"Ahmedabad,Gujrat + 58 more",116 years old,501-1k Employees (India)
MMC,4.0,(414 Reviews),Private,New York + 16 more,152 years old,1k-5k Employees (India)
Neuland Laborato...,4.2,(413 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 4 more",39 years old,1k-5k Employees (India)
Teamware Solutio...,4.3,(413 Reviews),Private,"Chennai,Tamil Nadu + 13 more",20 years old,501-1k Employees (India)
Chandigarh Unive...,3.3,(413 Reviews),Private,"Mohali,Punjab + 31 more",11 years old,1k-5k Employees (India)
Quantiphi Analyt...,3.3,(413 Reviews),Private,"Mumbai,Maharashtra + 7 more",10 years old,1k-5k Employees (India)
Recpdcl.ltd,4.0,(413 Reviews),Private,"Noida,Uttar Pradesh + 59 more",16 years old,1k-5k Employees (India)
Central Reserve ...,4.6,(412 Reviews),Govt Organisation,"Delhi/NCR,New Delhi + 68 more",84 years old,1 Lakh+ Employees (India)
ChannelPlay,3.9,(412 Reviews),Private,"Gurgaon/Gurugram,Haryana + 51 more",17 years old,1k-5k Employees (India)
Jyothy Laborator...,4.1,(412 Reviews),Private,"Mumbai,Maharashtra + 89 more",40 years old,1k-5k Employees (India)
IL&FS Engineerin...,4.4,(412 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 44 more",35 years old,1k-5k Employees (India)
Amazon Web Servi...,4.0,(412 Reviews),Public,"Seattle,Washington + 34 more",17 years old,10k-50k Employees (India)
MothersonSumi IN...,3.3,(412 Reviews),Private,Noida + 11 more,23 years old,1k-5k Employees (India)
BankBazaar,3.3,(412 Reviews),Private,"Chennai,Tamil Nadu + 8 more",15 years old,1k-5k Employees (India)
Greenply,4.0,(411 Reviews),Public,"Gurgaon/Gurugram,Haryana + 61 more",39 years old,1k-5k Employees (India)
Credence Resourc...,3.5,(411 Reviews),LLC,"Dallas,Texas + 1 more",9 years old,501-1k Employees (India)
Writer Corporati...,3.6,(410 Reviews),Private,"Mumbai,Maharashtra + 63 more",70 years old,10k-50k Employees (India)
Nlb Services,3.8,(410 Reviews),Private,"Alpharetta,Georgia + 15 more",16 years old,1k-5k Employees (India)
MG Motor,4.0,(410 Reviews),Private,"To Be Validated,4704971 + 45 more",99 years old,1k-5k Employees (India)
Medicover Hospit...,3.8,(410 Reviews),"Hyderabad,Telangana + 23 more",12 years old,5k-10k Employees (India),
CDK Global,3.6,(409 Reviews),Private,"Hoffman Estates,Illinois + 2 more",51 years old,1k-5k Employees (India)
Qatar Airways,4.3,(408 Reviews),Private,Doha + 17 more,30 years old,5k-10k Employees (India)
Qatar Airways,4.3,(408 Reviews),Private,Doha + 17 more,30 years old,5k-10k Employees (India)
Maveric Systems,3.8,(408 Reviews),Public,"Chennai,Tamil Nadu + 6 more",23 years old,1k-5k Employees (India)
Eli Research,3.4,(408 Reviews),Private,Faridabad + 8 more,32 years old,51-200 Employees (India)
uFaber,2.9,(407 Reviews),Private,"Mumbai,Maharashtra + 13 more",10 years old,1k-5k Employees (India)
Cloudnine Hospit...,4.0,(407 Reviews),JV,"Bangalore,Karnataka + 20 more",16 years old,1k-5k Employees (India)
Ask Automotive,4.2,(407 Reviews),Private,"Gurgaon/Gurugram,Haryana + 18 more",35 years old,5k-10k Employees (India)
Digit Insurance,3.8,(407 Reviews),Private,"Bangalore,Karnataka + 50 more",7 years old,1k-5k Employees (India)
Rane (Madras),4.1,(407 Reviews),Public,"Vallancherry,Tamil Nadu + 21 more",26 years old,201-500 Employees (India)
Magus Customer D...,3.6,(406 Reviews),Private,"Pune,Maharashtra + 14 more",34 years old,51-200 Employees (India)
3M,4.2,(406 Reviews),Public,"Saint Paul,Minnesota + 35 more",36 years old,1k-5k Employees (India)
Scope Internatio...,4.1,(406 Reviews),Private,Mannheim + 4 more,22 years old,201-500 Employees (Global)
Magneti Marelli ...,3.8,(406 Reviews),Private,Pune + 14 more,15 years old,11-50 Employees (India)
Amadeus,4.0,(406 Reviews),Private,Madrid + 11 more,36 years old,1k-5k Employees (India)
Shriram Automall,4.2,(406 Reviews),Private,"Delhi/NCR,Delhi + 91 more",12 years old,1k-5k Employees (India)
Sterlite Power T...,3.9,(406 Reviews),"Delhi/NCR,Delhi + 49 more",13 years old,501-1k Employees (India),
Hilti,3.9,(406 Reviews),Private,Schaan + 31 more,82 years old,501-1k Employees (India)
Medley Pharmaceu...,4.1,(405 Reviews),Public,"Mumbai,Maharashtra + 55 more",54 years old,1k-5k Employees (India)
V-Trans,4.1,(405 Reviews),Public,"Mumbai,Maharashtra + 61 more",65 years old,1k-5k Employees (India)
Vaco Binary Sema...,3.6,(405 Reviews),Private,"Gurgaon/Gurugram,Haryana + 22 more",7 years old,1k-5k Employees (India)
Carborundum Univ...,3.9,(405 Reviews),Public,"Chennai,Tamil Nadu + 27 more",69 years old,1k-5k Employees (India)
TTK Prestige,4.0,(405 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 59 more",68 years old,501-1k Employees (India)
Sutherland Healt...,3.9,(405 Reviews),Private,"Clifton,New Jersey + 7 more",21 years old,1k-5k Employees (India)
Surya Roshni,4.2,(404 Reviews),Public,"Delhi/NCR,Delhi + 53 more",50 years old,1k-5k Employees (India)
Rungta Mines,4.0,(404 Reviews),Public,"Singhbum,Jharkhand + 11 more",61 years old,1k-5k Employees (India)
TVS Electronics,3.8,(403 Reviews),Public,"Chennai,Tamil Nadu + 53 more",37 years old,1k-5k Employees (India)
RITES,4.0,(403 Reviews),Private,"Gurgaon/Gurugram,Haryana + 49 more",49 years old,1k-5k Employees (India)
Triveni Engineer...,4.0,(403 Reviews),Public,"Mysore/Mysuru,Karnataka + 40 more",91 years old,1k-5k Employees (India)
Gestamp,3.7,(403 Reviews),Private,"Madrid,Community Of Madrid + 5 more",26 years old,501-1k Employees (India)
Visteon,3.9,(403 Reviews),Private,"Detroit,Michigan + 11 more",23 years old,1k-5k Employees (India)
ZTE Corporation,4.0,(402 Reviews),Private,"Shenzhen,Guangdong + 42 more",20 years old,201-500 Employees (India)
Voltech,3.5,(402 Reviews),Private,"Chennai,Tamil Nadu + 32 more",35 years old,501-1k Employees (India)
Forbes Marshall,4.1,(402 Reviews),Private,"Pune,Maharashtra + 21 more",98 years old,1k-5k Employees (India)
ZTE Corporation,4.0,(402 Reviews),Private,"Shenzhen,Guangdong + 42 more",20 years old,201-500 Employees (India)
IDEMIA,4.0,(402 Reviews),Private,"Courbevoie,Courbevoie + 29 more",6 years old,1k-5k Employees (India)
Y-Axis Overseas ...,3.8,(402 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 11 more",24 years old,1k-5k Employees (India)
Franklin Templet...,4.2,(402 Reviews),Private,San Mateo + 14 more,76 years old,1k-5k Employees (India)
Quality Austria ...,3.5,(401 Reviews),Private,"Delhi/NCR,Delhi + 38 more",13 years old,201-500 Employees (India)
DP World,4.0,(401 Reviews),Public,"Dubai,Jebel Ali + 40 more",18 years old,1k-5k Employees (India)
Essjay Ericsson,4.1,(401 Reviews),Private,Delhi + 72 more,52 years old,1k-5k Employees (India)
Sulekha.com,4.3,(401 Reviews),Private,"Chennai,Tamil Nadu + 18 more",16 years old,201-500 Employees (India)
Levi Strauss & C...,4.4,(401 Reviews),Public,"San Francisco,California + 65 more",170 years old,201-500 Employees (India)
Kellogg,4.4,(400 Reviews),Private,"Battle Creek,Michigan + 60 more",117 years old,501-1k Employees (India)
Ministry of Defe...,4.4,(400 Reviews),Private,"Delhi/NCR,Delhi + 55 more",76 years old,10k-50k Employees (India)
SourceHOV,3.6,(400 Reviews),Chennai + 8 more,1k-5k Employees (India),,
Lear Corporation,4.0,(399 Reviews),Public,Southfield + 13 more,106 years old,1k-5k Employees (India)
Embibe,3.4,(399 Reviews),Private,"Bangalore,Karnataka + 12 more",11 years old,1k-5k Employees (India)
Offshore Infrast...,4.2,(398 Reviews),Private,"Mumbai,Maharashtra + 34 more",28 years old,501-1k Employees (India)
Housing.com,4.2,(398 Reviews),Private,"Gurgaon,Haryana + 27 more",11 years old,1k-5k Employees (India)
Patel Infrastruc...,4.0,(397 Reviews),Private,"Vadodara/Baroda,Gujarat + 36 more",51 years old,201-500 Employees (India)
Kidzee,4.2,(397 Reviews),Private,"Ernakulam,Kerala + 97 more",20 years old,1k-5k Employees (India)
Central Public W...,4.1,(397 Reviews),Private,"Delhi/NCR,New Delhi + 94 more",169 years old,10k-50k Employees (India)
nThrive Global S...,4.0,(397 Reviews),Private,Alpharetta + 7 more,20 years old,501-1k Employees (India)
Coal India,4.0,(396 Reviews),Public,"Kolkata,West Bengal + 43 more",48 years old,1 Lakh+ Employees (India)
Fiat India Autom...,3.7,(396 Reviews),Private,"Mumbai,Maharashtra + 14 more",26 years old,1k-5k Employees (India)
PPG Asian Paints,4.0,(396 Reviews),Private,"Mumbai,Maharashtra + 48 more",26 years old,501-1k Employees (India)
Orient Technolog...,3.8,(396 Reviews),Private,"Chiyoda-ku,Tokyo-to + 36 more",31 years old,1k-5k Employees (India)
NBTC GROUP,3.8,(396 Reviews),Private,Al Ahmadi + 23 more,46 years old,501-1k Employees (India)
Shyam Steel Indu...,3.7,(396 Reviews),Private,"Kolkata,West Bengal + 38 more",70 years old,1k-5k Employees (India)
Guidehouse,3.9,(396 Reviews),Private,"Trivandrum/Thiruvananthapuram,Kerala + 7 more",20 years old,1k-5k Employees (India)
CTS Consulting &...,3.8,(395 Reviews),Private,Eysines + 25 more,15 years old,201-500 Employees (India)
Guidehouse,3.9,(396 Reviews),Private,"Trivandrum/Thiruvananthapuram,Kerala + 7 more",20 years old,1k-5k Employees (India)
Yokogawa,3.6,(395 Reviews),Private,"Tokyo,Tokyo-to + 19 more",108 years old,1k-5k Employees (India)
Comviva Technolo...,3.5,(395 Reviews),Private,"Gurgaon,Haryana + 13 more",24 years old,1k-5k Employees (India)
CTS Consulting &...,3.8,(395 Reviews),Private,Eysines + 25 more,15 years old,201-500 Employees (India)
HLL Lifecare,3.7,(395 Reviews),Private,"Trivandrum/Thiruvananthapuram,Kerala + 87 more",57 years old,1k-5k Employees (India)
Bunge India,4.1,(394 Reviews),Private,"Chesterfield,Missouri + 42 more",23 years old,1k-5k Employees (India)
Cairn Energy,4.1,(394 Reviews),Private,"Edinburgh,Edinburgh + 20 more",42 years old,1k-5k Employees (India)
Tracxn,3.3,(394 Reviews),Private,"Bangalore,Karnataka + 5 more",10 years old,501-1k Employees (India)
Adarsh Credit Co...,4.0,(394 Reviews),Private,"Ahmedabad,Gujrat + 135 more",24 years old,1k-5k Employees (India)
Ind-Swift Labora...,3.8,(393 Reviews),Public,"Chandigarh,Chandigarh + 23 more",28 years old,1k-5k Employees (India)
Army Public Scho...,4.3,(393 Reviews),Private,"Delhi/NCR,New Delhi + 71 more",49 years old,5k-10k Employees (Global)
le méridien,4.1,(393 Reviews),Private,Paris + 22 more,51 years old,5k-10k Employees (India)
Zydus Healthcare,4.1,(393 Reviews),Mumbai + 50 more,,,
Action Construct...,3.8,(392 Reviews),Public,"Delhi/NCR,New Delhi + 33 more",28 years old,1k-5k Employees (India)
Ramky Enviro Eng...,4.0,(392 Reviews),Private,Hyderabad + 54 more,29 years old,10k-50k Employees (India)
Updater Services,3.8,(392 Reviews),Private,"Chennai,Tamil Nadu + 49 more",38 years old,50k-1 Lakh Employees (India)
ALLEN Career Ins...,4.1,(391 Reviews),Private,"Kota,Rajasthan + 44 more",35 years old,10k-50k Employees (India)
Saudi Binladin G...,4.4,(391 Reviews),Private,"Jeddah,Riyadh + 22 more",92 years old,201-500 Employees (India)
The Times of Ind...,4.0,(390 Reviews),Private,New Delhi + 45 more,185 years old,5k-10k Employees (India)
UnitedLex,3.3,(390 Reviews),Private,"New York,New York + 2 more",17 years old,501-1k Employees (India)
Oriental Structu...,4.2,(390 Reviews),Private,"Delhi/NCR,Delhi + 43 more",37 years old,1k-5k Employees (India)
Wockhardt Hospit...,4.2,(390 Reviews),Private,"Mumbai,Maharashtra + 16 more",50 years old,1k-5k Employees (India)
Schoolnet India,3.9,(390 Reviews),Public,"Noida,Uttar Pradesh + 84 more",26 years old,51-200 Employees (India)
JK Tech,3.7,(389 Reviews),Public,"Noida,Uttar Pradesh + 14 more",29 years old,501-1k Employees (India)
Almarai,4.3,(389 Reviews),Private,"Riyadh,Central Province + 26 more",46 years old,1k-5k Employees (India)
Spoton Logistics,4.5,(389 Reviews),Private,"Bangalore,Karnataka + 69 more",11 years old,1k-5k Employees (India)
Greenlam Industr...,4.2,(389 Reviews),Public,"Delhi/NCR,Delhi + 52 more",10 years old,1k-5k Employees (India)
TCI Express,3.9,(389 Reviews),Public,Gurugram + 62 more,27 years old,1k-5k Employees (India)
HBL Global,4.1,(388 Reviews),Private,"Mumbai,Maharashtra + 77 more",23 years old,11-50 Employees (India)
Asb Internationa...,4.1,(388 Reviews),Private,"Thane,Maharashtra + 9 more",26 years old,1k-5k Employees (India)
Eicher Motors,4.3,(388 Reviews),Public,Gurgaon + 73 more,41 years old,10k-50k Employees (India)
Essel Propack,3.9,(387 Reviews),Public,"Mumbai,Maharashtra + 25 more",39 years old,1k-5k Employees (India)
Jai Balaji Group,3.7,(387 Reviews),Public,"Kolkata,West Bengal + 20 more",24 years old,10k-50k Employees (India)
Varun Motors,4.1,(387 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 28 more",30 years old,5k-10k Employees (India)
Asb Internationa...,4.1,(387 Reviews),Private,"Thane,Maharashtra + 9 more",26 years old,1k-5k Employees (India)
GlobalData,3.9,(386 Reviews),Private,London + 6 more,39 years old,1k-5k Employees (India)
Vestige,4.3,(386 Reviews),Private,"Delhi/NCR,Delhi + 90 more",19 years old,501-1k Employees (India)
Cargill Business...,4.0,(386 Reviews),"Wayzata,Minnesota + 5 more",8 years old,1k-5k Employees (India),
BharatMatrimony....,3.8,(385 Reviews),Private,"Chennai,Tamil Nadu + 28 more",26 years old,1k-5k Employees (Global)
Doosan Power Sys...,4.0,(385 Reviews),Private,Crawley + 23 more,13 years old,501-1k Employees (India)
Patel Engineerin...,4.0,(385 Reviews),Public,"Mumbai,Maharashtra + 44 more",74 years old,1k-5k Employees (India)
Adidas,4.1,(385 Reviews),Public,"Herzogenaurach,Bavaria + 46 more",74 years old,1k-5k Employees (India)
Bharat Serums an...,3.8,(385 Reviews),Private,"Mumbai,Maharashtra + 40 more",52 years old,1k-5k Employees (India)
OpenText Technol...,3.9,(384 Reviews),Private,"Waterloo,Ontario + 5 more",32 years old,1k-5k Employees (India)
Lohia Group,3.8,(384 Reviews),Public,"Kanpur,Uttar Pradesh + 15 more",47 years old,1k-5k Employees (India)
EaseMyTrip.com,4.3,(383 Reviews),Public,"Delhi,NCT + 6 more",15 years old,201-500 Employees (India)
Transport Corpor...,3.8,(383 Reviews),Public,Gurgaon + 65 more,65 years old,5k-10k Employees (India)
Blackberrys,4.1,(382 Reviews),Private,"Gurgaon/Gurugram,Haryana + 67 more",32 years old,10k-50k Employees (India)
Nomura Holdings,4.0,(382 Reviews),Public,"Mumbai,Maharashtra + 6 more",14 years old,1k-5k Employees (India)
Amtek Auto,3.8,(382 Reviews),Public,"Delhi/NCR,New Delhi + 29 more",38 years old,1k-5k Employees (India)
Keventer,3.9,(382 Reviews),Private,Kolkata + 42 more,37 years old,501-1k Employees (India)
Livpure,4.0,(382 Reviews),Private,"Gurgaon,Haryana + 66 more",13 years old,1k-5k Employees (India)
Macawber Beekay,4.2,(381 Reviews),Private,"Noida,Uttar Pradesh + 28 more",37 years old,1k-5k Employees (India)
Ziqitza Health C...,4.1,(381 Reviews),Public,"Mumbai,Maharashtra + 41 more",18 years old,5k-10k Employees (India)
Stock Holding Co...,3.7,(381 Reviews),Public,"Mumbai,Maharashtra + 87 more",37 years old,201-500 Employees (India)
CompuCom,4.1,(380 Reviews),Private,"Fort Mill,South Carolina + 5 more",36 years old,1k-5k Employees (India)
Moser Baer,3.9,(380 Reviews),Public,"Delhi/NCR,Delhi + 11 more",40 years old,1k-5k Employees (India)
Sintex-bapl,3.7,(380 Reviews),Public,Pune + 42 more,16 years old,501-1k Employees (India)
Cpf India,4.1,(380 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 45 more",29 years old,501-1k Employees (India)
Grab A Grub Serv...,3.9,(380 Reviews),Private,Mumbai + 81 more,10 years old,51-200 Employees (India)
TO THE NEW,4.1,(380 Reviews),Private,"Singapore,Malaysia + 8 more",15 years old,1k-5k Employees (India)
Centaur Pharmace...,3.7,(379 Reviews),Private,"Mumbai,Maharashtra + 39 more",45 years old,1k-5k Employees (India)
Siemens Energy,4.2,(379 Reviews),Private,Munich + 27 more,176 years old,1k-5k Employees (India)
Khazana Jeweller...,3.9,(379 Reviews),Private,"Chennai,Tamil Nadu + 45 more",34 years old,501-1k Employees (India)
CARE,4.4,(378 Reviews),Private,Noida + 93 more,73 years old,51-200 Employees (India)
Nelito System,3.5,(378 Reviews),Private,Navi Mumbai + 31 more,28 years old,1k-5k Employees (India)
Nucleus Software...,3.8,(378 Reviews),Public,"Noida,Uttar Pradesh + 8 more",37 years old,1k-5k Employees (India)
NecLife,3.7,(378 Reviews),Public,"Chandigarh,Chandigarh + 13 more",28 years old,1k-5k Employees (India)
Ramboll,4.2,(378 Reviews),Private,"Copenhagen,Denmark + 24 more",17 years old,1k-5k Employees (India)
RuralShores,4.1,(378 Reviews),Private,"Bangalore,Karnataka + 37 more",15 years old,1k-5k Employees (India)
Zee Entertainmen...,3.8,(377 Reviews),Public,Mumbai + 26 more,31 years old,1k-5k Employees (India)
Paras Dairy,3.7,(377 Reviews),Public,"Delhi/NCR,Delhi + 43 more",36 years old,501-1k Employees (India)
Larsen & Toubro ...,4.1,(377 Reviews),Chennai + 68 more,1 Lakh+ Employees (India),,
Nvidia,4.2,(377 Reviews),Private,"Santa Clara,California + 6 more",30 years old,1k-5k Employees (India)
PrimEra Medical ...,3.6,(377 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 1 more",8 years old,1k-5k Employees (India)
Riya Travel,3.8,(377 Reviews),Private,"Mumbai,Maharashtra + 31 more",43 years old,1k-5k Employees (India)
Vasudha Pharma C...,3.9,(376 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 5 more",28 years old,1k-5k Employees (India)
HRH Next Service...,3.3,(376 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 7 more",16 years old,51-200 Employees (India)
Rane NSK Steerin...,4.0,(376 Reviews),Bawal + 14 more,201-500 Employees (India),,
Nephroplus,4.0,(375 Reviews),Private,Hyderabad + 75 more,14 years old,501-1k Employees (India)
Fiem Industries,3.8,(375 Reviews),Public,New Delhi + 16 more,34 years old,501-1k Employees (India)
Sayaji Hotels,4.4,(375 Reviews),Public,"Indore,Madhya Pradesh + 23 more",36 years old,1k-5k Employees (India)
Emami Agrotech,3.9,(375 Reviews),Public,"Kolkata,West Bengal + 39 more",21 years old,1k-5k Employees (India)
Utility Powertec...,3.9,(374 Reviews),Private,"Noida,Uttar Pradesh + 65 more",28 years old,201-500 Employees (India)
Ess Kay Fincorp,4.0,(374 Reviews),Public,Jaipur + 104 more,29 years old,5k-10k Employees (India)
Salcomp Manufact...,4.1,(374 Reviews),Private,Salo + 9 more,17 years old,1k-5k Employees (India)
Luxoft,4.1,(374 Reviews),LLP,Zug + 11 more,23 years old,1k-5k Employees (India)
Victora Group,3.9,(374 Reviews),Private,"Faridabad,Haryana + 18 more",32 years old,201-500 Employees (India)
BSCPL Infrastruc...,3.9,(374 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 33 more",51 years old,1k-5k Employees (India)
B.L. Kashyap & S...,3.8,(374 Reviews),Private,"Delhi/NCR,New Delhi + 21 more",45 years old,1k-5k Employees (India)
Al Turki Enterpr...,3.6,(373 Reviews),Private,Muscat + 7 more,18 years old,501-1k Employees (India)
LIC Housing Fina...,4.0,(373 Reviews),Public,"Mumbai,Maharashtra + 94 more",34 years old,1k-5k Employees (India)
Fidelity Interna...,4.3,(373 Reviews),Private,London + 6 more,54 years old,1k-5k Employees (India)
Fedbank Financia...,4.2,(373 Reviews),Private,"Mumbai,Maharashtra + 96 more",13 years old,1k-5k Employees (India)
Colt Technology ...,4.3,(373 Reviews),Private,"London,England + 5 more",31 years old,1k-5k Employees (India)
BDO India LLP,3.7,(373 Reviews),LLP,New Delhi + 20 more,50 years old,1k-5k Employees (India)
Ferrero,3.9,(373 Reviews),Private,"Pune,Maharashtra + 55 more",19 years old,501-1k Employees (India)
Bridgestone,4.2,(372 Reviews),Private,Tokyo + 43 more,27 years old,1k-5k Employees (India)
ShareChat,3.8,(372 Reviews),Private,"Bangalore,Karnataka + 24 more",8 years old,1k-5k Employees (India)
Karvy DigiKonnec...,3.1,(372 Reviews),Hyderabad + 18 more,8 years old,10k-50k Employees (India),
L & W Constructi...,3.7,(372 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 12 more",17 years old,501-1k Employees (India)
Amar Ujala,3.9,(372 Reviews),Private,"Noida,Uttar Pradesh + 43 more",75 years old,1k-5k Employees (India)
Vikram Solar,3.8,(371 Reviews),Private,"Kolkata,West Bengal + 25 more",17 years old,1k-5k Employees (India)
Infra.Market,4.0,(371 Reviews),Private,"Thane,Maharashtra + 47 more",7 years old,1k-5k Employees (India)
Gandhi Automatio...,4.2,(370 Reviews),Private,"Mumbai,Maharashtra + 16 more",27 years old,501-1k Employees (India)
H & R Johnson,4.0,(370 Reviews),Private,Staffordshire + 66 more,27 years old,1k-5k Employees (India)
Wipro Digital,3.7,(369 Reviews),Private,"Brooklyn,New York + 19 more",8 years old,1k-5k Employees (India)
Vijai Electrical...,3.5,(369 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 33 more",50 years old,5k-10k Employees (India)
Bahwan Engineeri...,4.0,(369 Reviews),Private,Ruwi + 16 more,46 years old,201-500 Employees (India)
Sona Comstar,4.3,(369 Reviews),Public,Gurgaon + 7 more,28 years old,1k-5k Employees (India)
Nagarjuna Fertil...,4.1,(368 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 59 more",38 years old,1k-5k Employees (India)
Suma Soft,3.8,(368 Reviews),Private,Pune + 6 more,23 years old,501-1k Employees (India)
Clarivate,3.8,(368 Reviews),Public,"Philadelphia,Pennsylvania + 8 more",7 years old,1k-5k Employees (India)
MOURI Tech,3.9,(368 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 5 more",18 years old,1k-5k Employees (India)
Finastra,3.9,(368 Reviews),Private,"Paddington,London + 11 more",6 years old,1k-5k Employees (India)
Infor Global Sol...,4.0,(368 Reviews),Private,New York + 6 more,21 years old,1k-5k Employees (India)
Veritas,4.2,(368 Reviews),Public,"Santa Clara,California + 18 more",34 years old,1k-5k Employees (India)
